Supporting Information for

Toward new solvents for EDLCs: From computational
screening to electrochemical validation

C. Schiitter,* T. Husch®, M. Korth>*, A. Balducci*:<*

@ University of Minster, MEET Battery Research Centre and Institute of Physical Chemistry, Corrensstr. 28/30, 48149 Minster (D)
> Ulm University, Institute for Theoretical Chemistry, Albert-Einstein-Allee 11, 89081 Ulm (D)
© Helmholtz Institute Ulm, Karlsruhe Institute of Technology, Helmholtzstrae 11, 89081 Ulm (D)

* Corresponding author e-mail: andrea.balducci@uni-muenster.de, martin.korth@uni-ulm.de

Contents:
1. SQM data set
2. DFT data set

1. SQM data set

ID HOMO/eV LUMO/eV n/cP Tb/K Tf/K Tm/K DeltaGsolv-Li-kcal/mol DeltaGsolv-pf6-kcal/mol
N1011250 -11.144 1.084 1.70793 534.271 357.916 -11.1 -123.08718 -47.91213
N1011251 -11.039 1.070 1.62552 532.650 356.542 -11.8 -122.86650 -47.92264
N1011252 -10.980 1.070 1.39980 515.292 345.387 -9.2 -123.14284 -47.94102
N1011253 -11.055 1.139 1.53153 526.356 352.637 -9.8 -122.75194 -47.87038
N1011254 -10.927 1.019 1.70969 530.692 356.069 -13.7 -122.48586 -47.93948
N1011255 -11.113 1.008 1.90819 538.569 361.709 -20.5 -122.30422 -47.82713
N1011256 -10.840 1.024 1.38570 515.594 345.725 -4.2 -122.46717 -47.96216
N1011257 -10.954 0.986 1.61543 522.604 351.252 0.5 -122.13331 -47.92163
N1011258 -10.814 0.995 1.56674 523.374 351.376 2.3 -122.21942 -48.00485
N1011259 -10.599 1.053 1.56224 525.668 352.493 -11.4 -122.70707 -48.00515
N101125 -11.182 0.998 1.84785 532.941 358.352 -4.1 -121.85654 -47.82683
N1011260 -10.798 1.025 1.57565 520.346 349.552 0.1 -122.63278 -48.07620
N1011261 -10.777 1.044 1.68829 530.939 356.238 -1.2 -122.48964 -48.00895
N1011262 -10.933 1.003 1.74110 527.169 354.484 -3.6 -122.25852 -48.05065
N1011263 -10.960 1.014 1.62238 524.029 352.074 -15.1 -122.21598 -47.92525
N1011264 -11.003 1.055 1.71196 529.153 355.257 -15.1 -122.57724 -47.98835
N1011265 -10.691 1.018 1.45717 517.887 347.445 -10.5 -122.61340 -48.05946
N1011266 -10.924 1.032 1.83680 536.963 360.361 -7.5 -122.47027 -47.98412
N1011267 -10.952 0.993 1.85917 534.611 359.314 -10.2 -121.91452 -47.99461
N1011268 -10.992 1.072 1.71051 533.147 357.590 -21.2 -122.43712 -47.93442
N1011269 -10.819 1.015 1.60160 524.009 351.703 -7.1 -122.44538 -47.98832
N101126 -10.867 1.010 1.85204 541.671 363.132 -6.4 -121.99502 -47.81570
NC11270 -10.865 1.057 1.56297 522.687 350.706 1.4 -122.78089 -48.00311
N1011271 -10.948 1.009 1.67955 531.396 356.283 -9.8 -122.25700 -47.90897
N1011272 -10.716 1.034 1.66787 529.643 355.372 -14.1 -122.68705 -47.93328
N1011273 -11.099 1.058 1.63715 529.396 354.930 -15.7 -122.47590 -47.89503
N1011274 -10.941 1.049 1.66640 530.099 355.591 -16.1 -122.53800 -47.95480
N1011275 -11.045 1.058 1.59343 524.390 351.889 -25.6 -122.73707 -47.84655
N1011276 -10.723 1.086 1.44723 517.052 346.860 -3.6 -122.81720 -48.06371
N1011277 -10.871 1.032 1.65097 531.041 356.092 -13.6 -122.00983 -47.92261
N1011278 -10.782 1.004 1.71255 529.280 355.526 -10.7 -122.06324 -48.01898
N1011279 -10.768 1.052 1.68052 528.761 354.739 -6.6 -122.62468 -48.20261
N101127 -11.114 1.005 1.79219 532.985 358.230 -8.6 -121.94236 -47.80955
N1011280 -10.682 1.046 1.60046 526.992 353.525 -16.4 -122.20771 -48.05782
N1011281 -10.717 1.020 1.74567 529.604 355.894 -9.0 -122.37347 -48.02954
N1011282 -10.645 1.013 1.78165 533.814 358.391 -21.2 -122.19133 -48.03230
N1011283 -10.881 1.082 1.53224 525.597 352.401 -19.1 -121.85112 -47.92211
N1011284 -10.897 1.010 1.53662 518.994 348.900 -13.2 -121.83033 -47.90041
N1011285 -10.922 1.107 1.59716 528.946 354.919 -24.5 -121.93153 -47.82126
N1011286 -10.973 1.013 1.76849 532.026 357.383 -23.5 -122.27897 -47.93391
N1011287 -10.706 1.066 1.61913 523.606 351.482 -7.0 -122.93421 -48.26354
N1011288 -10.796 1.042 1.71431 524.738 352.637 -1.8 -122.83925 -48.33960
N1011289 -10.834 1.051 1.93984 532.191 357.916 -7.5 -122.79268 -48.23834
N101128 -11.114 1.019 2.09152 549.262 368.507 -19.8 -121.89882 -47.85096
N1011290 -10.711 1.085 1.63154 528.782 354.084 -3.9 -123.18532 -48.36318
N1011291 -10.672 1.027 1.88501 530.335 356.728 4.0 -122.69782 -48.32935
N1011292 -10.702 1.046 1.65973 530.630 355.602 -10.9 -122.73519 -48.28732
N1011293 -10.720 1.015 1.85197 525.792 354.244 -8.0 -122.44996 -48.28604
N1011294 -10.605 1.009 1.90261 531.927 357.820 -11.6 -122.32076 -48.32429
N1011295 -10.602 1.008 1.91784 531.522 357.744 -12.5 -122.34715 -48.26321
N1011296 -10.821 1.041 1.67372 525.131 352.509 4.2 -122.80754 -48.20700
N1011297 -10.660 1.108 1.62058 529.320 354.458 -7.3 -123.28737 -48.29400
N1011298 -10.651 1.024 1.74232 527.883 354.563 -5.5 -122.70944 -48.30263
N1011299 -10.825 1.027 1.96287 535.724 360.106 -3.4 -122.65598 -48.29140
NC1129 -10.950 1.072 1.78789 529.680 355.602 -1.0 -123.14198 -48.25914
N10112 -11.150 0.981 2.26493 543.273 366.032 -25.6 -121.85660 -47.91202
N1011300 -10.638 1.015 1.81067 526.524 354.431 -8.5 -122.50233 -48.22075
N1C11301 -10.639 1.009 1.91617 531.324 357.655 -0.4 -122.34821 -48.28677
N1011302 -10.647 1.038 1.92842 532.344 358.300 -16.0 -122.31309 -48.32559
N1011303 -10.814 1.045 1.67597 522.195 351.050 -10.4 -122.91316 -48.18184
N1011304 -10.827 1.073 1.60682 530.459 355.088 -10.7 -122.74618 -48.24383
N1011305 -10.925 1.086 1.79208 529.911 355.761 -8.7 -123.11434 -48.26000
N1C11306 -10.891 1.084 1.97269 538.724 361.610 -18.6 -122.92058 -48.28718
N1011307 -10.651 1.026 1.81690 530.271 356.180 -12.1 -122.70159 -48.32615
N1011308 -10.745 1.097 1.65525 532.032 356.433 -4.4 -122.51263 -48.31968
N1C11309 -10.838 1.033 1.94299 535.270 359.779 -19.4 -122.71999 -48.22624
NC1130 -10.731 1.074 1.70785 529.897 355.149 -0.1 -123.30370 -48.30205
N1011310 -10.719 1.067 1.75201 528.250 354.696 -12.5 -122.97906 -48.31466
N1011311 -10.822 1.030 1.75132 529.948 355.894 -15.7 -122.36308 -48.22210
N1011312 -10.793 1.027 1.92315 535.737 359.963 -4.4 -122.70052 -48.15310
N1011313 -10.658 1.008 1.92257 530.176 357.057 -18.3 -122.31149 -48.26093
N1011314 -10.797 1.079 1.73856 533.616 357.725 -10.0 -122.89294 -48.23212
N1011315 -10.746 1.023 2.05393 539.878 362.944 -19.7 -122.57360 -48.19258
N1011316 -10.725 1.056 1.98861 537.736 361.415 -19.7 -122.58494 -48.23337
N1011317 -11.005 1.048 1.94981 533.834 358.898 -14.2 -122.81338 -48.21616
N1011318 -10.890 1.023 1.96508 537.868 361.357 -18.5 -122.62257 -48.16166
N1011319 -10.887 1.074 1.24980 510.854 341.740 3.9 -123.02010 -47.98336
N1C1131 -10.863 1.058 1.81657 535.014 358.659 -5.8 -122.80265 -48.26638
N1011320 -10.856 1.053 1.30073 514.343 344.185 2.6 -122.79210 -47.87553
N1011321 -10.935 1.048 1.30670 516.058 345.246 -1.4 -122.78997 -47.90365
N1011322 -10.812 1.036 1.34013 513.073 343.876 1.0 -122.42710 -47.96427
N1011323 -10.936 1.040 1.40765 518.536 347.429 -1.2 -122.48130 -47.93343
N1011324 -10.864 1.031 1.21511 505.033 338.535 2.5 -122.47522 -47.86334
N1011325 -11.051 1.057 1.26681 506.218 339.563 -3.8 -122.83100 -47.91268
N1011326 -10.759 1.029 1.28742 513.235 343.587 -0.9 -122.54458 -47.94669
N1011327 -10.903 1.080 1.36639 513.962 344.475 0.6 -123.04601 -48.02648
N1011328 -10.956 1.034 1.40873 519.269 347.821 -4.4 -122.55902 -47.88805
N1011329 -10.948 1.054 1.30403 519.996 347.384 -8.9 -122.68997 -47.93945
N101132 -11.048 1.050 2.03924 545.607 365.681 -6.4 -122.80966 -48.25485
N1C11330 -10.838 1.023 1.41890 512.767 344.417 -10.1 -122.30561 -47.93949
N1011331 -10.975 1.031 1.38129 510.272 342.788 -7.3 -122.38848 -47.93831
N1011332 -11.030 1.035 1.53782 526.267 352.739 -9.5 -122.37483 -47.84196
N1011333 -10.825 1.061 1.36454 515.067 345.192 -3.7 -122.39294 -48.02423
N1011334 -10.914 1.064 1.40636 520.303 348.367 -7.5 -122.43392 -48.02262
N1011335 -10.966 1.067 1.30885 514.272 344.185 -8.4 -122.69439 -48.06270
N1C11336 -10.900 1.060 1.49401 524.722 351.561 -5.5 -122.38752 -47.94503
N1011337 -10.860 1.025 1.32962 513.151 344.100 -10.6 -122.33027 -47.92257
N1011338 -10.911 1.037 1.48579 521.388 349.721 -6.8 -122.46924 -47.92874
N1C11339 -10.943 1.039 1.50487 522.282 350.278 -13.9 -122.44265 -47.95623
N101133 -11.063 1.054 2.21883 553.317 370.659 -20.4 -122.82566 -48.17482
N1011340 -10.913 1.072 1.39869 521.149 348.775 -7.4 -122.68587 -47.91561
N1011341 -10.952 1.138 1.30570 519.450 347.081 -9.7 -123.06016 -47.82455
N1011342 -10.935 1.086 1.30495 514.462 344.475 -9.7 -122.25608 -47.92712
N1011343 -10.789 1.098 1.35210 518.472 346.960 -9.4 -122.56518 -48.00064
N1011344 -10.814 1.033 1.53730 527.065 353.359 -13.7 -121.94112 -47.81667
N1011345 -10.940 1.061 1.53819 525.532 352.285 -16.7 -122.38602 -47.86739
N1011346 -10.640 1.047 1.27188 506.478 339.384 3.0 -123.01706 -48.23595
N1011347 -10.702 1.044 1.29973 510.601 341.785 4.1 -123.12458 -48.10933
N1011348 -10.722 1.052 1.34298 511.907 342.996 3.4 -122.95209 -48.21954
N1011349 -10.688 1.003 1.42795 519.083 347.798 -0.1 -122.62366 -48.05758
N101134 -10.801 1.015 1.74173 524.773 353.009 0.6 -122.55354 -48.22360
N1C11350 -10.958 1.056 1.34969 517.272 345.949 1.4 -123.16097 -48.03307
N1011351 -10.941 1.066 1.43005 518.979 347.461 -2.5 -123.19683 -48.05418
N1011352 -10.703 1.073 1.30176 513.291 343.507 -3.2 -123.10876 -48.18627
N1C11353 -10.881 1.060 1.44096 517.841 347.031 -1.9 -122.94566 -48.03655
N1011354 -10.941 1.070 1.35638 518.603 346.585 -0.1 -123.50626 -48.06993
N1011355 -10.962 1.049 1.33644 517.518 346.208 -9.0 -123.08114 -47.99826
N1011356 -11.071 1.101 1.38267 520.427 347.733 0.7 -123.71988 -48.14146
N1011357 -10.842 1.154 1.30231 520.216 346.978 -8.0 -124.04203 -48.04581
N1011358 -11.046 1.052 1.40902 531.415 354.222 -11.6 -122.90346 -48.02362
N1011359 -11.043 1.119 1.38321 517.826 346.381 -9.5 -123.46736 -47.96549
N101135 -10.676 1.012 1.90320 530.040 356.900 -0.9 -122.37859 -48.28371
N1C11360 -10.800 1.033 1.46411 519.619 348.367 -7.9 -122.88462 -48.05571
N1011361 -10.947 1.067 1.50597 522.513 350.150 -9.5 -123.10975 -48.01862
N1011362 -10.827 1.117 1.31016 515.338 344.324 -4.8 -123.66760 -48.08552
N1011363 -11.018 1.079 1.56228 526.013 352.120 -7.7 -123.51302 -48.03499
N1011364 -11.122 1.035 1.46891 524.377 350.768 -6.2 -122.97325 -47.98840
N1011365 -11.131 1.066 1.45593 522.171 349.552 -12.3 -123.15708 -47.89333
N1011366 -10.714 1.040 1.31343 508.618 341.104 0.9 -122.76084 -48.08798
N1011367 -10.645 1.095 1.33257 513.570 344.046 -7.3 -122.93658 -48.06756
N1011368 -10.770 1.055 1.40193 515.334 345.343 -1.4 -123.09449 -48.17642
N1011369 -10.817 1.017 1.38107 515.968 345.655 -2.0 -122.56229 -48.07409
N101136 -10.916 1.012 2.04797 535.101 360.361 -5.6 -122.37111 -48.22158
N1011370 -10.649 1.131 1.35462 518.543 346.920 -5.8 -122.68047 -48.05814
N1011371 -10.742 1.060 1.39511 516.343 345.928 -6.1 -122.91326 -48.00641
N1011372 -10.559 1.041 1.36491 511.434 343.124 -7.2 -122.69273 -48.10693
N1011373 -10.572 1.047 1.48378 520.384 349.048 -5.6 -122.55386 -48.04037
N1011374 -10.547 1.019 1.58527 525.048 352.285 -10.9 -122.47569 -48.02562
N1011375 -10.966 1.093 1.32600 513.022 343.389 -0.1 -123.30976 -47.99450
N1011376 -10.917 1.076 1.51280 523.926 350.830 -3.4 -123.20273 -47.97609
N1011377 -10.852 1.045 1.49718 524.596 351.269 -6.7 -122.63062 -48.10843
N1011378 -10.802 1.060 1.53651 523.211 350.768 -5.1 -122.78564 -47.98190
N1011379 -10.776 1.062 1.42507 517.121 346.761 -8.0 -122.40026 -47.98866
N101137 -10.896 1.012 1.97092 533.764 359.221 -5.6 -122.41420 -48.18927
N1011380 -10.708 1.012 1.69420 528.666 355.021 -9.4 -122.30038 -48.01959
N1011381 -11.047 1.050 1.48745 525.088 351.349 -7.6 -122.85097 -47.94898
N1011382 -10.916 1.044 1.58213 523.717 351.376 -8.0 -122.72529 -48.12140
N1011383 -10.919 1.077 1.36589 517.745 347.081 -13.4 -121.93088 -47.83124
N1011384 -11.074 1.068 1.54811 525.814 352.163 -4.6 -122.91407 -47.92798
N1011385 -10.980 1.054 1.53133 524.015 351.039 -7.9 -123.11821 -47.96377
N1011386 -11.033 1.052 1.66959 532.012 356.433 -11.0 -122.94376 -47.90405
N1011387 -10.866 1.028 1.44703 520.304 348.598 -5.6 -122.68604 -48.04202
N1011388 -10.939 1.004 1.75251 530.087 356.115 -12.8 -122.34961 -47.96465
N1011389 -11.104 1.079 1.51820 521.068 349.374 -14.7 -122.84443 -47.87656
N101138 -10.684 1.044 1.85133 533.411 358.242 -5.1 -122.61697 -48.38953
N1011390 -10.842 1.049 1.56949 524.095 351.561 -15.4 -122.62809 -47.97568
N1011391 -10.539 1.120 1.39245 516.495 345.556 3.2 -123.61942 -48.44473
N1011392 -10.735 1.094 1.48775 521.545 349.166 0.8 -123.35118 -48.39193
N1011393 -10.511 1.028 1.54415 517.860 347.793 1.3 -122.83981 -48.40630
N1011394 -10.537 1.023 1.56267 517.526 347.793 -2.6 -122.72404 -48.38979
N1011395 -10.701 1.101 1.52433 522.741 350.123 1.2 -123.40797 -48.36736
N1011396 -10.561 1.036 1.61812 520.927 349.855 2.2 -122.94819 -48.39988
N1011397 -10.375 1.019 1.66523 520.551 350.177 -2.2 -122.61261 -48.38718
N1011398 -10.757 1.101 1.50482 523.024 349.902 -1.9 -123.53166 -48.39742
N1011399 -10.797 1.123 1.48485 522.519 349.811 -9.1 -123.39630 -48.21973
N1C1139 -10.748 1.001 2.04033 535.932 360.865 -6.5 -122.21941 -48.20219
N10113 -11.135 0.969 2.29868 543.829 366.518 -28.4 -121.74673 -47.86139
N1011400 -10.683 1.065 1.58914 525.687 352.120 -7.9 -123.29974 -48.35291
N1011401 -10.589 1.047 1.52219 523.778 350.675 -2.4 -123.16345 -48.31556
N1011402 -10.621 1.103 1.49876 520.911 348.919 -10.2 -123.72921 -48.20879
N1011403 -10.663 1.122 1.52650 527.217 352.525 -4.6 -123.36763 -48.34528
N1011404 -10.548 1.093 1.54587 525.554 351.940 -1.4 -123.28224 -48.36668
N1011405 -10.598 1.016 1.66954 524.100 352.177 -7.2 -122.55923 -48.29121
N1011406 -10.740 1.036 1.69179 528.889 354.785 -10.3 -122.89787 -48.28346
N1011407 -10.489 1.032 1.65134 525.312 352.695 -9.3 -122.79003 -48.28033
N1011408 -10.723 1.059 1.60138 521.034 349.811 -4.4 -122.95128 -48.29955
N1011409 -10.682 1.039 1.62747 522.146 350.594 -7.4 -123.00814 -48.27842
N101140 -10.952 1.015 2.17431 542.768 365.064 -19.7 -122.40528 -48.12674
N1011410 -10.574 1.026 1.66895 522.534 351.208 -12.4 -122.74187 -48.29354
N1011411 -10.664 1.091 1.59148 529.403 354.222 -2.4 -123.14393 -48.36357
N1011412 -10.581 1.011 1.76434 527.428 354.643 -7.2 -122.46180 -48.25539
N1011413 -10.798 1.103 1.63589 523.628 351.269 -6.9 -123.27179 -48.27340
N1011414 -10.683 1.082 1.65618 526.292 353.009 -6.9 -122.88811 -48.25111
N1011415 -10.795 1.057 1.60690 531.896 355.761 -9.8 -123.07960 -48.17705
N1011416 -10.795 1.112 1.68927 528.578 354.334 -10.5 -123.33661 -48.27755
N1011417 -10.759 1.032 1.82764 534.436 358.659 -9.3 -122.77309 -48.20336
N1011418 -10.787 1.087 1.35178 512.426 343.331 -3.9 -123.43263 -48.04859
N1011419 -11.037 1.008 1.49001 524.980 351.482 7.7 -122.61046 -47.95410
N101141 -10.897 1.007 2.22140 542.870 365.397 -19.5 -122.27619 -48.15514
N1011420 -10.926 1.036 1.47369 525.537 351.614 7.0 -122.93429 -47.95739
N1011421 -10.981 1.070 1.54456 525.102 351.658 -8.7 -123.25149 -48.00100
N1011422 -10.479 0.991 1.38237 519.347 347.553 -5.0 -122.55502 -48.02690
N1011423 -10.852 1.057 1.38751 523.934 350.123 6.7 -122.73434 -47.99326
N1011424 -11.048 1.106 1.44659 519.078 347.733 -7.7 -123.17021 -47.95019
N1011425 -10.923 1.053 1.55971 526.615 352.711 -5.9 -122.88302 -47.93617
N1011426 -10.784 1.036 1.39917 521.286 348.807 6.5 -122.44141 -48.06668
N1011427 -10.573 1.061 1.36279 511.267 342.983 4.3 -122.72928 -48.11823
N1011428 -10.943 1.017 1.50747 517.091 347.317 -11.0 -122.57176 -47.94836
N1011429 -10.701 1.056 1.41711 518.082 347.081 4.3 -122.73923 -48.11688
N101142 -10.889 1.000 2.21874 540.611 364.238 -18.3 -122.19295 -48.15651
NC11430 -10.722 1.070 1.36007 520.019 348.057 10.0 -121.73435 -48.00132
N1011431 -10.919 1.081 1.43510 522.028 349.744 2.3 -122.10007 -47.90091
N1011432 -10.803 1.034 1.61867 525.696 352.739 4.5 -122.62401 -48.05317
N1011433 -10.396 0.994 1.51700 519.794 348.807 -12.5 -122.23523 -48.06836
N1011434 -10.737 1.013 1.59274 524.348 352.074 3.0 -122.28883 -47.98921
N1011435 -10.596 1.026 1.60776 519.499 349.197 -13.3 -122.82588 -48.30661
N1011436 -10.650 1.042 1.56596 517.982 347.995 -3.6 -122.78533 -48.25199
N1011437 -10.637 1.034 1.74268 528.915 355.165 7.2 -122.84202 -48.29084
N1011438 -10.943 1.142 1.15598 506.573 338.296 15.7 -123.85489 -48.04590
N1011439 -10.902 1.089 1.24575 511.052 341.740 6.6 -123.20733 -48.02993
N101143 -10.772 1.032 2.12974 541.988 364.521 -17.1 -122.42855 -48.21741
N1011440 -10.677 1.062 1.23207 507.104 339.470 1.2 -122.86257 -48.07943
N1011441 -10.663 1.042 1.23821 508.462 340.375 0.3 -122.66476 -48.12701
N1011442 -10.597 1.125 1.17005 506.118 338.215 14.0 -123.49845 -48.22529
N1011443 -10.886 1.115 1.25841 510.952 341.411 9.6 -123.88601 -48.15816
N1011444 -10.778 1.054 1.26464 512.385 342.788 7.8 -123.04532 -48.08519
N1011445 -10.933 1.108 1.33248 514.729 344.139 2.3 -123.76714 -48.05170
N1011446 -10.676 1.089 1.30929 509.305 341.268 8.0 -123.22539 -48.16618
N1011447 -10.806 1.120 1.34917 514.885 344.405 3.0 -123.77277 -48.08855
N1011448 -10.761 1.070 1.31077 512.881 343.331 1.3 -123.02681 -48.20789
N1011449 -10.693 1.059 1.38817 519.141 347.526 10.8 -122.81348 -48.06793
N101144 -10.897 0.998 2.39696 545.022 367.425 -21.9 -122.11152 -48.10587
N1011450 -10.918 1.117 1.27391 515.459 344.340 18.3 -123.49419 -48.12117
N1011451 -10.958 1.095 1.28880 518.469 346.208 13.0 -123.23316 -47.92826
N1011452 -10.840 1.075 1.27376 514.561 344.030 17.1 -122.95546 -48.07749
N1011453 -11.033 1.058 1.38535 519.661 347.652 12.0 -122.84223 -48.00281
N1C11454 -10.836 1.099 1.34897 515.828 345.246 10.7 -123.18047 -48.02961
N1011455 -11.004 1.073 1.41211 522.341 349.462 4.0 -122.89836 -47.93611
N1011456 -10.735 1.071 1.19267 505.316 338.096 16.9 -123.05816 -48.12425
N1011457 -10.842 1.061 1.29927 512.107 342.922 10.1 -122.80256 -48.05151
N1C11458 -10.881 1.075 1.46359 521.106 349.153 6.6 -122.86062 -47.99344
N1011459 -10.962 1.128 1.26507 517.330 345.556 6.0 -123.35066 -47.89917
N101145 -11.087 0.996 1.82703 531.451 357.137 -10.3 -122.37669 -47.90612
N1011460 -10.872 1.098 1.29099 519.729 347.215 2.1 -122.89203 -47.94106
N1011461 -11.033 1.068 1.38593 525.212 351.012 0.3 -122.67428 -47.79372
N1011462 -11.050 1.057 1.50163 525.236 351.757 2.4 -122.61975 -47.85866
N1011463 -10.583 1.076 1.34333 517.312 346.146 1.8 -122.72041 -48.07998
N1011464 -10.837 1.080 1.34282 516.765 345.867 -1.0 -122.68345 -47.96785
N1011465 -10.874 1.041 1.51493 527.160 353.102 0.6 -122.32080 -47.91354
N1C11466 -10.853 1.051 1.47193 522.262 350.040 11.8 -122.31389 -47.89061
N1011467 -10.674 1.106 1.39458 517.574 346.146 16.1 -123.71441 -48.51740
N1011468 -10.743 1.109 1.52109 516.695 346.630 13.4 -123.70300 -48.48857
N1011469 -10.738 1.115 1.53205 523.627 350.533 9.3 -123.49937 -48.42152
N101146 -11.143 0.993 1.69577 531.561 356.619 -12.2 -122.32104 -47.83789
N1011470 -10.686 1.078 1.48295 520.706 348.642 11.8 -123.44370 -48.50105
N1011471 -10.759 1.076 1.66333 527.551 353.570 9.5 -123.38785 -48.37384
N1011472 -10.592 1.029 1.54455 516.039 346.860 9.1 -122.82155 -48.33390
N1011473 -10.578 1.024 1.62956 519.355 349.321 10.0 -122.66914 -48.37662
N1011474 -10.517 1.012 1.72165 523.682 352.285 2.8 -122.47468 -48.32299
N1011475 -10.747 1.083 1.52209 521.292 349.135 2.1 -123.32620 -48.38942
N1011476 -10.773 1.074 1.62721 525.547 352.196 0.6 -123.37950 -48.26923
N1011477 -10.870 1.087 1.66541 531.546 355.894 0.2 -123.00255 -48.17062
N1011478 -10.652 1.015 1.61583 521.810 350.422 -1.6 -122.66980 -48.23974
N1011479 -10.663 1.118 1.14657 507.669 338.711 17.3 -123.59466 -48.08881
N101147 -11.043 0.987 1.76373 532.344 357.501 -13.8 -122.32711 -47.81786
N1011480 -10.794 1.133 1.14912 506.646 338.389 17.6 -123.59582 -48.05979
N1011481 -10.784 1.068 1.19052 509.077 340.132 15.5 -122.99848 -48.09783
N1011482 -10.804 1.129 1.17990 507.390 338.946 18.9 -123.57645 -48.14419
N1011483 -10.741 1.077 1.24152 506.589 339.400 4.1 -122.96330 -47.96023
N1011484 -10.645 1.049 1.17814 506.636 338.774 17.7 -122.86824 -48.14797
N1011485 -10.785 1.085 1.26075 509.017 340.796 13.1 -123.12880 -48.16475
N1011486 -10.840 1.071 1.36318 519.009 347.215 1.9 -122.87870 -48.07815
N1011487 -10.918 1.095 1.22309 511.261 341.553 5.8 -123.16875 -48.08534
N1011488 -10.959 1.089 1.26518 510.155 341.342 0.7 -123.03999 -48.04072
N1C11489 -10.643 1.076 1.15092 501.986 336.103 4.5 -122.80317 -47.99751
N101148 -10.995 1.045 1.68157 532.555 356.804 -10.1 -122.64301 -47.95954
N1C11490 -10.846 1.106 1.20384 510.787 341.215 4.4 -122.95505 -48.10647
N1011491 -10.941 1.064 1.33899 516.945 345.800 -6.8 -122.76143 -47.98720
N1011492 -10.759 1.058 1.27541 506.175 339.595 -3.1 -122.55881 -48.04756
N1011493 -10.737 1.053 1.32141 517.383 346.208 -6.4 -122.28096 -47.93391
N1011494 -10.804 1.126 1.25594 508.375 339.994 16.2 -123.74961 -48.35936
N1011495 -10.790 1.086 1.30974 510.584 341.926 14.6 -123.31314 -48.30485
N1011496 -10.837 1.113 1.27483 514.583 343.640 13.4 -123.69449 -48.17075
N1011497 -10.645 1.065 1.31015 511.556 342.661 0.8 -122.95417 -48.10943
N1011498 -10.880 1.108 1.25924 514.817 343.507 6.0 -123.81910 -48.09796
N1011499 -10.744 1.045 1.35297 515.136 344.846 -5.2 -123.12665 -48.07692
N101149 -11.150 1.009 1.96965 541.751 363.562 -20.1 -122.33823 -47.92308
N10114 -11.004 1.032 1.97054 543.254 364.611 -22.2 -122.13795 -47.85863
N1011500 -11.024 1.094 1.35667 518.665 346.518 -0.8 -123.50448 -47.95648
N1011501 -10.649 1.120 1.42868 516.612 345.725 14.9 -123.79870 -48.54017
N1011502 -10.635 1.088 1.43334 518.262 346.964 13.2 -123.62531 -48.42797
N1011503 -10.534 1.051 1.43963 516.372 346.039 11.5 -123.20296 -48.48247
N1011504 -10.630 1.061 1.44541 519.472 347.599 0.7 -123.47718 -48.44120
N1011505 -10.691 1.132 1.36706 516.782 345.556 2.1 -123.66519 -48.39123
N1011506 -10.780 1.129 1.09826 506.117 337.316 25.2 -123.77966 -48.18284
N1011507 -10.772 1.119 1.12033 505.184 337.057 28.7 -123.47264 -48.29003
N1C11508 -10.766 1.001 3.83036 593.332 389.860 13.7 -122.40699 -48.36592
N1011509 -10.560 1.003 3.55123 587.094 386.977 3.4 -122.39515 -48.31090
N101150 -11.121 1.048 1.79007 538.272 360.653 -23.4 -122.62614 -47.93414
N1011510 -10.979 1.003 3.81312 588.369 389.294 -1.9 -122.30084 -48.30356
N1011511 -11.201 1.004 2.72879 572.036 377.104 12.6 -122.43168 -48.00208
N1011512 -10.927 1.049 2.37043 565.167 370.684 14.7 -122.81382 -47.98489
N1011513 -11.068 1.030 2.66229 572.904 374.927 19.8 -122.58968 -48.06580
N1011514 -11.090 1.036 2.91896 574.082 378.533 11.7 -123.10335 -48.29587
N1011515 -10.748 1.060 2.73816 573.778 376.553 12.6 -123.37307 -48.39920
N1011516 -10.877 1.058 2.91120 580.141 379.325 18.7 -123.46888 -48.51233
N1011517 -10.947 1.013 2.98368 571.838 377.957 13.3 -122.61533 -48.35088
N1011518 -10.602 1.035 2.82024 573.763 377.104 14.4 -122.73989 -48.51637
N1011519 -10.838 1.006 3.04245 573.521 379.109 13.6 -122.45040 -48.40089
N101151 -11.044 1.105 1.68462 534.477 358.076 -20.6 -122.73702 -47.85928
N1011520 -10.791 1.017 3.24546 585.136 383.486 14.4 -122.73005 -48.43674
N1011521 -10.529 1.015 3.01694 574.340 378.281 13.6 -122.68030 -48.39983
N1011522 -10.917 1.000 3.34369 579.737 383.656 12.3 -122.33763 -48.25133
N1011523 -11.142 1.017 2.90959 579.144 381.537 2.3 -122.79752 -48.12957
N1011524 -10.988 1.005 2.82075 579.146 380.502 8.2 -122.17465 -47.99700
N1011525 -11.168 0.977 2.85947 569.887 376.446 8.8 -122.23055 -48.03709
N1011526 -11.025 1.061 2.66397 569.948 373.292 13.0 -122.94937 -48.09614
N1011527 -10.922 0.985 2.78972 572.234 376.530 9.6 -122.45689 -48.06443
N1011528 -10.940 1.015 2.77353 575.513 376.786 12.1 -122.87219 -48.13184
N1011529 -10.880 0.952 2.98679 571.604 378.148 0.0 -122.12919 -48.08282
N101152 -11.086 1.066 1.80018 540.258 361.709 -21.5 -122.67213 -47.93348
N1011530 -10.751 0.975 2.87105 568.263 374.828 8.6 -122.35635 -48.05127
